Job Title,Company Name,Location,Required Skills,Responsibilities
Python Developer For Payments / Finance,Unvc,"Alexandria, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Python · JSON · FastAPI · Stripe · Braintree · Paypal · Fawry · Paymob · Aman · Momkn,"We're a company in the payments sector (similar to Fawry, Aman, Momkn, etc.).  || We need a Python developer to work on our payment gateway, providing a single API to shops while on the server-side consuming payment services from various providers. So let's say we're building an Egyptian Stripe.  || We're using FastAPI as our tool of choice. "
Senior Python Technologist,Nagwa,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · SQL · DJANGO · NOSQL · Computer Science · GIT · IT · Engineering · Telecom · IT/Software Development,"Developing web-based applications using Python || Writing reusable, testable, and efficient code using the Python programming language for different purposes || Automating certain functions to facilitate some jobs in Nagwa || Monitoring the team's technical progress through competitive benchmarking || Identifying and removing barriers that reduce efficiency and effectiveness "
Python Developer,Shebak,"Smart Village, Giza, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux · SQL · Agile,"We are building reliable and scalable web-based and mobile enterprise solutions. || Solving problems and have a desire to work on a thoughtful, agile team providing business-critical solutions, then we’d love to talk to you. "
Python Developer (Odoo),2B,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Odoo · Computer Science · Information Technology (IT) · CSS · Linux · jQuery · API · Odoo Modules · IT/Software Development,"Design, Develop and test Odoo modules, projects, products and interfaces (Using Python) || Maintain & customize Odoo addons || Implementing new features || Create & customize reports || Create new functional business modules || Integrate Odoo with other web applications || Setup, maintain & monitor Odoo service || Identify and fix issues related to Odoo development "
Senior Python Developer - Platform Team,Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software · Programming · Design · Git · SQL · API · REST,"Develop new features on the server side including documentation, execution, testing and deployment of APIs. || Write reusable, testable, and efficient code. || Maintain current backend code. || Work directly with QA and Product team to achieve high-quality output. "
Senior Python Engineer,camelCase,"Mohandessin, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · Web Development · Programming · Google Cloud · App Engine · Scalability · TDD · Information Technology (IT) · Computer Science · Software Engineering,camelCase build web applications for international companies. Your role will focus on our applications built in Python 3.x. You will design and build web services supporting a variety of analytical tools. You will work alongside other backend engineers and with frontend engineers and data scientists. 
3D Software Developer,Bee Digital 360,"Dokki, Giza, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Engineering · Computer Science · Mechatronics · Python · Software Development · Unity 3D · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,"Specialize and skilled software developers that design and build 3d models using Unity, the Matlab software. Preferred Blender. || Able to use the blender and enhance any blender script to enhance its python script. || It's preferable that the developer has some knowledge in linking the scripts with SBC and is experienced with Linux. "
Backend Developer - Ruby On Rails/Python,Profolio Consulting,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 5 Yrs of Exp · Ruby · Ruby On Rails · Rails · Python · Django · React · Computer Science · Information Technology (IT) · Software Development · javaScript,"We are looking to hire Junior & Senior Backend developers for one of our clients who is a leading software provider company. || We are looking for an experienced Back-end developer to join our IT team. You will be responsible for the server side of our web applications. || If you have excellent programming skills and a passion for developing applications or improving existing ones, we would like to meet you. As a Back-end developer, you’ll work closely with our engineers to ensure system consistency and improve user experience. || Ultimately, you should be able to develop and maintain functional and stable web applications. "
Odoo Developer,BlueBell,"New Cairo, Cairo, Egypt ",Full timeFreelance / ProjectWork from homeExperienced · 2 - 3 Yrs of Exp · CSS · Odoo · JavaScript · Web Development · Information Technology (IT) · Python · Development · HTML · jQuery · Computer Science,"Design, Development and testing of Odoo (Open ERP) Modules, projects, products and interfaces (Using Python) . || Configuration, Installation and maintenance of server and multi-database Odoo/Ubuntu environments. || Maintain and monitor Odoo server & customize Odoo add - ons . || Implementing new features. Create& customize reports. || Create new functional business modules. || Integrate Odoo with other web applications. || Setup, maintain & monitor Odoo servers. || Support of a real usability and testing team. job requirements "
Senior Software Backend Engineer,fetchr,"Alexandria, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Python · Software Engineering · Software Development · Software · IT/Software Development · Engineering - Telecom/Technology,"Collaborates with the engineering team in the development and initiation of new software designs and architectures || Reviews and is a key contributor for design and code inspections || Writes, translates, and codes software programs and applications according to specification as needed || Runs and monitors performance tests on new and existing software for the purposes of correcting mistakes, isolating areas of improvement, and general debugging || knowledge of development best practices || Provides guidance to junior software development staff || Provides technical support to team members || Strong communication skills || Must be a team player with the ability to work with all parts of the organization || Problem solving skills and the ability to get the job done "
Data Engineer (DBT/Looker/BigQuery),360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeExperienced · 5+ Yrs of Exp · Analysis · DBT · ML · Looker · Tableau · Python · SQL · Computer Engineering · Computer Science · Data Engineer,Develop and optimize large-scale batch and real-time data pipelines that ingest structured and unstructured data from a variety of sources || Manage incoming data requests and prioritize the highest value projects in an organized fashion || Take over and scale our DBT and Looker setup || Use your master SQL skills to craft cutting edge data solutions || Punch through ambiguity and a growing level of complexity when it comes to our organization's data || Utilize Machine Learning Algorithms to perform forecasting and prediction analysis 
.Net Developer,Egybell,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · .Net · Engineering · Information Technology (IT) · MVC · English · Software Development · Python · Computer Science · AWS · MVC Architecture,"Designing, executing, assessing, and troubleshooting software programs and applications  || Configuring, analyzing, designing, coding, developing, unit testing and documenting software specifications throughout the project life cycle. || Contributing in the estimates of the project, the quality and timeliness of the deliverables and the project’s compliance to the organizational processes and standards. "
"Junior Trader - Dubai, UAE",Cobblestone Energy,"Dubai, United Arab Emirates ",Full timeEntry Level · 0 - 5 Yrs of Exp · Trading · Mathematics · Engineering · Analysis · Numerical Analysis · Financial Markets · Python · Microsoft Excel · Purchasing/Procurement · Engineering - Oil & Gas/Energy,Lifelong learning with continuous reflection. || Independent thinking through a meritocracy of ideas. || The team is more important than the individual. || Being the best in any market we enter. || Hiring and keeping only the most effective people. 
Structural BIM Project Engineer,Pinnacle Real Estate Investments and Development Management,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 7 Yrs of Exp · Civil Engineering · Project Management · Project · Primavera · Management · BIM · Engineering · Programming · Python · Engineering - Construction/Civil/Architecture,
Junior Odoo Developer,Rockal,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Odoo · Python · javaScript · API · GIT · HTML · Computer Science · Information Technology (IT) · Odoo Modules · PostgreSQL,"Study requirements provided by our team || Design and develop new Odoo modules || Make changes and updates to old modules || Update modules from any version to another || Install Odoo and custom modules on any environment (Odoo SH, Google, Amazon, …) || Handle errors and bugs found in any new or old module || Communicate work progress in daily standup meetings || Work on change requests "
System Administrator (Linux) - Alexandria,Softxpert Incorporation ,"Alexandria, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Information Technology (IT) · Engineering · Communication Engineering · Computer Science · English · Git · MySQL · Python · System Administration · System administrator,"Production servers monitoring and take corrective actions. || Implement and execute solutions that increase servers availability || Backup, restore, and disaster recovery plans. || Maintain servers security (Be update with security solutions and take corrective actions). || Maintain clean servers structure. || Plan and execute high availability solutions. || Recommend new technologies or process improvements || Maintain Automation scripts for any manual work || Install, Configure, Deploy and maintain production servers especially on cloud-based || Maintain Production and Staging servers performance and security "
Odoo Developer,Pan Marine Group,"Alexandria, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Software · Software Engineering · Software Development · Information Technology (IT) · Computer Science · SQL · Python · javaScript · OOD · OOP,"Develop code based on the specifications provided || Participate in code development by actively writing code and conducting unit testing || Handle existing software problems and carry out requested changes || Make Unit testing to the code before release as required, Fixing Issues || Impact analysis for change requests || Participate in Team meeting || Maintaining the systems once they are up and running "
Product Application Engineer,Egybell,"Maadi, Cairo, Egypt ",Full timeExperienced · 4 - 8 Yrs of Exp · Computer Science · Computer Engineering · Linux · Software Development · Information Technology (IT) · Electrical Engineering · JSON · MySQL · Python · SQL,"Provide troubleshooting and technical support via phone, web-based tools and email || Answer questions from customers, prospective customers and field personnel about the features and capabilities of VIAVI’s VIA product suite. || Developing customer-facing documentation for our website on an as-needed basis || Conducting root cause analysis that will lead to effective problem solving || Work closely with other groups including R&D and manufacturing to implement enhancements that improve product reliability and serviceability || Take ownership of customer issues reported and see problems through to resolution || Follow standard procedures for proper escalation of unresolved issues to the appropriate internal teams || Provide prompt and accurate feedback to customers || Prepare accurate and timely reports "
Senior .NET SW Engineer - C#,ICT Cube,"Maadi, Cairo, Egypt ",Full timeExperienced · 7+ Yrs of Exp · ASP.NET · .NET · Software Development · Software Engineering · Computer Science · Information Technology (IT) · OOP · System Design · Data Analysis · Data Structure,"Participate in requirements analysis || Collaborate with internal teams to produce software design and architecture || Write clean, scalable code using .NET programming languages || Test and deploy applications and systems || Revise, update, refactor and debug code || Improve existing software || Develop documentation throughout the software development life cycle (SDLC) || Serve as an expert on applications and provide technical support "
Staff Software Engineer (Customer Domain Team),Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 8+ Yrs of Exp · Computer Science · Information Technology (IT) · Networking · Programming · Python · Software · Software Development · Software Engineering · Troubleshooting · Debugging,"Perform feasibility studies to validate capability and functionality. || Create new concepts from initial design to market release. || Guide support personnel and handle projects. || Draft and submit intellectual property. || Document all phases of research and development. || Research and assess current technologies. || Evaluate and synthesize vendor activities to assist development. || Draft and submit professional articles for technical journals. || Develop and execute complex, multi-tier distributed software search applications. || Create technical and domain expertise and apply to products and problems. || Offer advanced technical expertise to design and develop software applications. || Calculate development tasks and set up plans for deliverables on release deadlines. || Manage and assist current software applications. || Determine and resolve complex application issues and bugs. || Assess and write code to improve or extend applications. "
Software QC Manager,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeManager · 7+ Yrs of Exp · Software · Software Development · Software Testing · Test Automation · Jira · Computer Science · Information Technology (IT) · Agile · Testing · Engineering,"You’ll be leading the quality effort on all software releases. With your testing team, you will be defining the test strategies, developing processes and tools, and testing 360Imaging's software applications which include desktop and web applications with the client and server-side products, API platform, and server infrastructure. || Drive the adoption of agile testing practices through the whole team. || Drive manual and automated test planning & strategy, execute them, and implement testing standards within the organization. || Oversees quality review of various applications || Reviews client requirements and provides feedback || Oversees projects to make sure work is scheduled based on priorities, risks, and team strengths and assignment of resources across projects || Participate in estimation and planning sessions and also develop, and manage testing schedules, ensuring that the testing team meets expectations and deadlines. || Monitor and control the progress of all the 360imaging projects || Oversees the implementation and execution of functional, non-functional regression, and acceptance tests. || Suggests enhancement for the process for the lesson learned from previous projects. || Evaluate current testing processes, tools, and methodologies and provide recommendations for improvement/maturation. || Assists in coaching the testing team members, by helping them to make decisions, solve problems, manage meetings and set goals, provide feedback on testing-related tasks, delegates, and assigns testing responsibilities. || Oversees the creation and maintenance of test data and test documentation || Assists in recruiting new staff, conducting interviews, and evaluate potential candidates || Collaborate with a self-organized team within an agile environment || Check reports extracted from the team and provide top management with these reports if needed to enhance the quality of projects. || Increase our test automation coverage, work with testers and developers to integrate automated testing into the CI process. || Provide daily & weekly status reports. "
Junior Devops Engineer,Raya Customer Experience,"New Cairo, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Java · Computer Science · Agile · Docker · Engineering · DevOps · JavaScript · Python · Software Development · Software Engineering,"Documentation: Writes specifications and documentation for the server-side features. || Systems analysis: Analyzes the technology currently being used and develops plans and processes for improvement and expansion. The DevOps engineer provides support for urgent analytic needs. || Development: Develops, codes, builds, installs, configures, and maintains IT solutions. || Project planning: Participates in project planning meetings to share their knowledge of system options, risk, impact, and costs vs. benefits. In addition, DevOps engineers communicate operational requirements and development forecasts. || Testing: Tests code, processes, and deployments to identify ways to streamline and minimize errors. || Deployment: Uses configuration management software to automatically deploy updates and fixes into the production environment. || Maintenance and troubleshooting: Perform routine application maintenance to ensure the production environment runs smoothly. Develops maintenance requirements and procedures. || Performance management: Recommends performance enhancements by performing gap analysis, identifying alternative solutions, and assisting with modifications. || Management: Depending on the size of the organization, the DevOps engineer may also be responsible for managing a team of DevOps engineers. "
Big Data Engineer - Jumia Food,Jumia,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Big Data · Computer Engineering · Java · Hadoop · Linux · C++ · Agile · Python,"Contribute to the design and construction of the company data lake || Collect, store, process, and support the analysis of huge sets of data, both structured and unstructured || Choosing optimal solutions to use in big data use cases, then maintain, implement, monitor and integrate them with the data and IT architecture used across the company || Build and teach the company about big data technologies, participate actively in the journey setup, from the discovery phase until the corporate data-centric transformation || Build solutions with key concepts: security and privacy by design "
Senior Software Developer,GET Group- Egypt,"Sheraton, Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · C# · WCF · WPF · MVC · C++,"Develop coding design and write codes on the software programs and applications based on the baseline design document prepared by the Software Designer and submitted by the Team Leader. || Review and recommend changes using the baseline design documents. || Implement the design components and submit to the Team Leader to assemble the product components according to the product integration plan. || Execute test cases, resolve all reported defects, and communicate them to the testers to verify their closure. || Develop installation media and hand it over to the Team Leader for review. || Coach and support other Software Developers. || Perform any other related job duties as requested by the direct supervisor. "
Full Stack Developer,Dafater,"Heliopolis, Cairo, Egypt ",Full timeWork from homeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript · MySQL · Python,"You’ll work in an Agile, collaborative environment to understand requirements, design, code, and test innovative applications, and support those applications for our highly valued customers. || You will develop new web features, that have a front end and back end component || Developing back-end components to improve responsiveness and overall performance. || Design and implementation of low-latency, high-availability, and performance applications. || Integrating user-facing elements into applications. || Improve the functionality of existing systems. || Assess and prioritize feature requests. || Coordinate with internal teams to understand user requirements and provide technical solutions. "
Data Engineer (Dbt/Looker/Snowflake),360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeEntry Level · 1 - 5 Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,Develop and optimize large-scale batch and real-time data pipelines that ingest structured and unstructured data from a variety of sources || Manage incoming data requests and prioritize the highest value projects in an organized fashion || Take over and scale our DBT and Looker setup || Use your master SQL skills to craft cutting edge data solutions || Punch through ambiguity and a growing level of complexity when it comes to our organization's data || Communicate data-backed findings to a diverse constituency of internal and external stakeholders 
STEM And Robotics Teacher,The Innovation Hub,"Shorouk City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Robotics · Arduino · Python · STEM · Education · CAD · IT/Software Development · Engineering - Mechanical/Electrical · Education/Teaching,Developing engaging STEM lesson plans in line with the curriculum objectives. || Planning daily lessons. || Monitoring student growth to identify strengths and areas for improvement. || Using learner data to constantly refine your curriculum. || Providing regular feedback to students. 
Data Scientist,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,"Own every part of the data and strategy cycle for your problem(s) - data capture design, strategy and metrics development, analytics frameworks, accessible reporting, coaching of business stakeholders, deep-dive analyses, ML for scaling, etc || Be a cross-functional leader, bringing together all business groups and technical groups to get the job done || Own your problem space itself. Be a full partner to business/technical stakeholders. || Ask the questions no one has thought of, and figure out when a full reframing might be necessary. "
Senior Java Backend Developer,Apptcom,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · APIs · backend · Computer Science · Information Technology (IT) · Java · MySQL · Git · Programming · Software Development · Computer Skills,"Your primary focus will be developing all server-side logic and all the required APIs that can serve all front-end aspects and ensure high performance and responsiveness to requests from the front-end. || Building reusable code and libraries for future use || Optimization of the application for maximum speed and scalability || Implementation of security and data protection || Design and implementation of data storage solutions || Collaborate with cross-functional teams to define, design, and ship new features || Work with outside data sources and APIs || Unit-test code for robustness, including edge cases, usability, and general reliability || Work on bug fixing and improving application performance || Management of hosting environment, including database administration and scaling an application to support load changes || Data migration, transformation, and scripting || Continuously discover, evaluate, and implement new technologies to maximize development efficiency || Automate both testing and deployment processes "
Ruby On Rails Developer,FlairsTech,"Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · CSS · HTML · PHP · MySQL · javaScript · Engineering · Computer Engineering · Computer Science · AngularJS · jQuery,"Full lifecycle application development. || Designing, coding and debugging PHP applications. || Software bug fixing for PHP web applications. || Software analysis, code analysis, requirements analysis, software review. || Customize and enhance existing applications based on specific customer requirements. "
Senior Backend Developer Node JS,StatsBomb,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Computer Science · Information Technology (IT) · Agile · Software · Node.js · Python · SQL · Github · Docker · AWS,"Design and create services and system architecture for your projects, and contribute and provide  feedback to other team members. || Help improve our code quality through writing unit tests, automation, and performing code reviews. || Collaborate with a multidisciplinary team of Back-End Software Engineers, Product Managers,  and Front-End Software Engineers. || Participate in brainstorming sessions and contribute ideas to our technology, algorithms, and products. || Work with the product and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solution. ||  Dive into difficult problems and successfully deliver results on schedule. "
Computer Vision & Deep Learning Developer,Fruitful Solutions,"New Nozha, Cairo, Egypt ",Full timeWork from homeEntry Level · 1+ Yrs of Exp · Machine Learning · Computer Engineering · C++ · Engineering · Linux · Computer Vision · Deep Learning · Python · Computer Science · Information Technology (IT),"Develop and test vision algorithms to control advanced hardware systems. || Develop and evaluate state-of-the-art computer vision algorithms for real-time control of hardware devices. || Port, implement and optimize analytics and machine learning algorithms using special purpose computing architectures. || Propose and implement creative, efficient solutions for vision and control problems, and contribute to expanding our intellectual property portfolio. || Perform technical performance benchmarking and analyses to support engineering decisions. || Determine project specifications and project schedule by studying product requirements and specifications, calculating time requirements and sequencing project elements. || Assist in the installation and running of product demonstrations. || Debugging with no additional support. || Participate in design reviews. || Documentations & Reports. "
